n	 tiempo
1	0
501	1e-06
1001	0
1501	1e-06
2001	0
2501	0
3001	1e-06
3501	0
4001	1e-06
4501	0
5001	1e-06
5501	0
6001	0
6501	0
7001	0
7501	1e-06
8001	0
8501	0
9001	0
9501	1e-06
