n	 tiempo
1	0
501	1e-06
1001	1e-06
1501	0
2001	0
2501	1e-06
3001	0
3501	0
4001	1e-06
4501	0
5001	0
5501	0
6001	0
6501	0
7001	0
7501	1e-06
8001	1e-06
8501	1e-06
9001	0
9501	1e-06
